order_id,branch_id,supplier_id,medication_id,order_date,quantity,unit_cost,total_cost,delivery_date
54,3,7,35,2023-11-01,197,299.79,59058.63,2023-11-07
55,7,6,50,2024-02-20,195,295.24,57571.8,2024-03-02
56,8,4,47,2024-07-04,124,140.19,17383.56,2024-07-17
57,10,10,141,2023-04-15,87,199.83,17385.21,2023-04-27
58,4,10,78,2024-07-24,445,155.8,69331.0,2024-08-03
59,1,3,108,2024-12-15,408,246.69,100649.52,2024-12-23
60,3,4,27,2024-08-10,288,7.12,2050.56,2024-08-20
61,1,7,5,2024-10-12,308,260.61,80267.88,2024-10-19
62,4,9,195,2024-03-22,268,43.99,11789.32,2024-03-25
63,9,5,57,2024-02-25,488,135.34,66045.92,2024-03-01
64,4,10,81,2024-02-07,431,295.26,127257.06,2024-02-16
65,10,5,134,2023-06-03,206,105.51,21735.06,2023-06-08
66,8,5,101,2024-05-26,372,81.75,30411.0,2024-05-31
67,7,4,128,2023-01-05,278,217.78,60542.84,2023-01-08
68,2,9,82,2023-12-25,430,266.41,114556.3,2023-12-31
69,10,6,131,2024-03-27,82,9.17,751.94,2024-04-01
70,9,9,179,2023-06-01,293,31.66,9276.38,2023-06-09
71,2,2,32,2024-10-02,207,219.82,45502.74,2024-10-11
72,4,5,165,2023-08-04,365,76.9,28068.5,2023-08-09
73,2,10,13,2024-10-12,300,259.03,77709.0,2024-10-15
74,2,1,188,2024-01-27,155,256.73,39793.15,2024-02-07
75,1,5,67,2023-01-09,282,108.59,30622.38,2023-01-19
76,6,9,101,2023-01-08,366,81.75,29920.5,2023-01-17
77,6,7,188,2024-06-06,425,256.73,109110.25,2024-06-09
78,7,7,43,2024-02-24,377,77.63,29266.51,2024-03-03
79,3,8,87,2023-03-31,91,267.97,24385.27,2023-04-05
80,7,10,92,2023-01-17,116,73.22,8493.52,2023-01-21
81,9,1,123,2024-06-09,479,124.9,59827.1,2024-06-15
82,3,4,114,2023-06-20,386,128.92,49763.12,2023-07-01
83,9,7,109,2023-07-18,210,174.86,36720.6,2023-07-27
84,7,10,1,2023-08-04,497,110.9,55117.3,2023-08-10
85,3,2,13,2024-07-06,332,259.03,85997.96,2024-07-15
86,6,2,200,2023-06-25,255,113.73,29001.15,2023-07-02
87,9,2,43,2023-02-18,294,77.63,22823.22,2023-03-02
88,1,5,32,2023-06-01,251,219.82,55174.82,2023-06-12
89,4,9,89,2024-10-15,171,81.46,13929.66,2024-10-19
90,10,10,58,2024-10-31,287,27.2,7806.4,2024-11-08
91,6,6,7,2024-05-10,317,77.22,24478.74,2024-05-14
92,8,6,38,2023-09-27,276,287.41,79325.16,2023-10-05
93,5,4,150,2023-12-18,248,288.76,71612.48,2023-12-27
94,2,5,86,2024-09-25,451,241.42,108880.42,2024-09-30
95,8,10,94,2023-10-21,281,250.7,70446.7,2023-11-02
96,1,2,58,2024-10-08,290,27.2,7888.0,2024-10-17
97,8,2,93,2023-10-10,81,125.24,10144.44,2023-10-17
98,8,2,170,2023-08-19,387,280.19,108433.53,2023-08-29
99,8,7,122,2023-07-17,395,7.99,3156.05,2023-07-21
100,5,4,2,2023-09-17,182,163.19,29700.58,2023-09-20
101,4,6,117,2023-01-17,221,133.49,29501.29,2023-01-24
102,8,1,23,2024-09-21,115,145.21,16699.15,2024-09-24
103,4,1,12,2023-05-16,211,111.79,23587.69,2023-05-22
104,3,1,69,2024-07-15,328,180.99,59364.72,2024-07-27
105,8,8,101,2024-12-19,279,81.75,22808.25,2024-12-24
106,2,8,64,2023-03-14,67,237.28,15897.76,2023-03-21
107,1,8,173,2024-11-20,149,42.24,6293.76,2024-12-04
108,10,3,168,2023-01-21,261,219.19,57208.59,2023-01-29
109,4,6,135,2024-05-01,213,247.52,52721.76,2024-05-06
110,9,10,29,2023-05-22,479,68.2,32667.8,2023-06-01
111,6,5,174,2024-01-06,455,34.41,15656.55,2024-01-12
112,7,4,137,2023-03-01,372,39.94,14857.68,2023-03-04
113,7,3,199,2023-08-18,139,238.25,33116.75,2023-08-29
114,7,7,94,2023-02-18,169,250.7,42368.3,2023-02-28
115,5,1,102,2024-11-02,268,229.56,61522.08,2024-11-13
116,8,6,99,2024-07-10,90,294.31,26487.9,2024-07-16
117,7,7,165,2024-12-03,169,76.9,12996.1,2024-12-08
118,10,9,196,2024-09-06,374,80.81,30222.94,2024-09-16
119,1,8,132,2024-02-22,74,168.24,12449.76,2024-03-05
120,7,9,7,2023-02-15,170,77.22,13127.4,2023-02-18
121,1,7,116,2023-01-31,52,221.47,11516.44,2023-02-12
122,2,4,75,2023-04-14,352,204.81,72093.12,2023-04-18
123,1,10,152,2024-07-28,474,197.2,93472.8,2024-08-11
124,1,9,19,2024-12-07,425,229.94,97724.5,2024-12-20
125,7,3,53,2023-12-17,269,88.12,23704.28,2023-12-31
126,5,6,54,2023-03-02,148,192.1,28430.8,2023-03-13
127,8,5,60,2024-08-11,390,95.94,37416.6,2024-08-15
128,3,5,159,2024-12-16,411,135.4,55649.4,2024-12-26
129,4,9,91,2023-11-23,448,104.08,46627.84,2023-12-02
130,7,8,93,2024-08-13,141,125.24,17658.84,2024-08-19
131,2,7,92,2024-11-17,186,73.22,13618.92,2024-11-29
132,10,8,95,2023-08-26,75,264.79,19859.25,2023-09-08
133,7,9,41,2023-03-01,205,288.43,59128.15,2023-03-11
134,7,5,82,2024-06-04,350,266.41,93243.5,2024-06-16
135,10,5,14,2024-04-05,455,118.51,53922.05,2024-04-17
136,4,9,52,2024-10-20,475,39.05,18548.75,2024-11-01
137,9,5,121,2024-03-27,412,240.36,99028.32,2024-04-02
138,9,10,60,2024-10-02,264,95.94,25328.16,2024-10-07
139,1,8,35,2023-05-21,64,299.79,19186.56,2023-05-31
140,7,4,135,2024-05-31,210,247.52,51979.2,2024-06-14
141,7,5,142,2024-05-19,167,5.79,966.93,2024-05-22
142,10,6,114,2024-08-16,193,128.92,24881.56,2024-08-28
143,7,5,2,2023-12-22,79,163.19,12892.01,2023-12-31
144,8,7,95,2023-05-26,300,264.79,79437.0,2023-06-02
145,7,5,89,2024-10-23,444,81.46,36168.24,2024-11-05
146,6,1,89,2023-12-21,376,81.46,30628.96,2023-12-24
147,10,3,169,2023-05-11,387,136.73,52914.51,2023-05-17
148,8,2,89,2023-08-09,374,81.46,30466.04,2023-08-21
149,7,10,112,2024-09-27,451,295.23,133148.73,2024-09-30
150,3,7,94,2023-05-08,329,250.7,82480.3,2023-05-21
151,9,3,171,2024-05-11,199,257.52,51246.48,2024-05-19
152,1,2,52,2024-05-29,96,39.05,3748.8,2024-06-06
153,9,8,61,2023-11-26,446,78.61,35060.06,2023-12-09
154,6,10,18,2024-03-28,371,261.8,97127.8,2024-04-10
155,5,8,119,2023-11-15,83,226.39,18790.37,2023-11-21
156,1,8,135,2024-03-29,66,247.52,16336.32,2024-04-01
157,2,9,200,2023-06-03,362,113.73,41170.26,2023-06-12
158,2,8,172,2024-11-27,436,274.46,119664.56,2024-12-07
159,8,8,162,2024-06-08,61,9.03,550.83,2024-06-21
160,3,7,34,2024-01-19,191,262.97,50227.27,2024-01-22
161,9,2,200,2023-08-03,305,113.73,34687.65,2023-08-14
162,6,1,129,2023-06-22,400,68.83,27532.0,2023-07-06
163,7,8,134,2023-12-07,145,105.51,15298.95,2023-12-18
164,10,10,102,2023-03-10,229,229.56,52569.24,2023-03-15
165,2,4,194,2024-06-30,291,31.59,9192.69,2024-07-12
166,2,7,196,2024-02-23,485,80.81,39192.85,2024-02-27
167,5,2,66,2023-04-13,233,199.71,46532.43,2023-04-16
168,1,3,83,2024-05-06,144,76.98,11085.12,2024-05-15
169,8,4,31,2023-11-10,193,126.28,24372.04,2023-11-17
170,4,8,30,2024-07-17,365,243.21,88771.65,2024-07-27
171,5,9,76,2024-07-25,66,250.95,16562.7,2024-07-28
172,5,2,36,2024-08-02,383,148.26,56783.58,2024-08-09
173,2,2,22,2024-02-07,66,245.73,16218.18,2024-02-14
174,7,4,91,2023-01-08,354,104.08,36844.32,2023-01-11
175,1,10,172,2024-04-24,226,274.46,62027.96,2024-05-05
176,10,6,96,2024-05-14,424,93.09,39470.16,2024-05-28
177,6,1,73,2023-02-09,184,217.33,39988.72,2023-02-22
178,8,10,194,2023-11-03,267,31.59,8434.53,2023-11-14
179,6,7,121,2024-02-24,121,240.36,29083.56,2024-03-04
180,4,7,30,2023-12-14,269,243.21,65423.49,2023-12-20
181,6,7,69,2023-05-08,67,180.99,12126.33,2023-05-14
182,7,5,182,2024-12-19,238,126.56,30121.28,2024-12-25
183,2,8,110,2024-10-05,92,63.51,5842.92,2024-10-11
184,2,5,200,2024-07-06,311,113.73,35370.03,2024-07-12
185,6,9,91,2024-09-16,272,104.08,28309.76,2024-09-25
186,3,10,69,2023-03-25,388,180.99,70224.12,2023-04-08
187,6,2,28,2024-12-23,135,258.59,34909.65,2024-12-26
188,3,10,110,2024-07-10,338,63.51,21466.38,2024-07-22
189,5,4,165,2023-02-26,333,76.9,25607.7,2023-03-07
190,8,2,27,2024-09-19,358,7.12,2548.96,2024-09-25
191,9,10,171,2023-02-08,252,257.52,64895.04,2023-02-15
192,5,7,101,2024-02-11,341,81.75,27876.75,2024-02-22
193,6,7,112,2024-09-17,115,295.23,33951.45,2024-09-29
194,10,6,83,2024-06-18,109,76.98,8390.82,2024-06-30
195,6,7,99,2024-12-24,486,294.31,143034.66,2024-12-28
196,10,6,69,2023-12-17,261,180.99,47238.39,2023-12-29
197,10,9,16,2023-04-07,306,105.35,32237.1,2023-04-21
198,7,6,23,2024-06-22,388,145.21,56341.48,2024-06-27
199,4,1,28,2024-12-02,235,258.59,60768.65,2024-12-15
200,3,10,41,2024-08-19,250,288.43,72107.5,2024-08-31
201,1,7,5,2024-07-02,167,260.61,43521.87,2024-07-11
202,10,9,188,2024-12-10,64,256.73,16430.72,2024-12-22
203,5,3,33,2024-09-29,301,163.2,49123.2,2024-10-02
204,6,10,5,2024-05-09,428,260.61,111541.08,2024-05-15
205,2,5,154,2024-09-24,350,103.33,36165.5,2024-09-30
206,8,9,148,2023-09-16,309,164.29,50765.61,2023-09-22
207,9,6,63,2023-04-28,137,57.91,7933.67,2023-05-09
208,6,8,60,2024-10-22,241,95.94,23121.54,2024-10-29
209,10,3,110,2024-08-28,405,63.51,25721.55,2024-09-06
210,10,10,81,2024-11-28,402,295.26,118694.52,2024-12-08
211,1,6,62,2023-12-21,206,50.59,10421.54,2023-12-24
212,10,1,106,2023-10-10,165,144.7,23875.5,2023-10-19
213,4,2,16,2023-09-25,181,105.35,19068.35,2023-10-07
214,10,7,18,2023-09-10,468,261.8,122522.4,2023-09-23
215,8,2,77,2023-07-27,73,183.97,13429.81,2023-08-06
216,2,9,182,2023-09-13,80,126.56,10124.8,2023-09-22
217,8,10,136,2023-06-01,240,49.01,11762.4,2023-06-14
218,8,2,150,2024-10-04,487,288.76,140626.12,2024-10-15
219,3,4,77,2023-03-29,453,183.97,83338.41,2023-04-07
220,4,1,119,2023-09-18,109,226.39,24676.51,2023-09-29
221,6,4,139,2024-04-29,454,178.61,81088.94,2024-05-13
222,8,1,128,2023-10-23,131,217.78,28529.18,2023-11-02
223,4,4,75,2023-08-21,258,204.81,52840.98,2023-09-04
224,10,4,61,2023-03-09,357,78.61,28063.77,2023-03-16
225,7,7,114,2024-09-08,495,128.92,63815.4,2024-09-12
226,8,6,50,2024-08-01,427,295.24,126067.48,2024-08-06
227,6,3,22,2024-02-02,216,245.73,53077.68,2024-02-11
228,5,4,6,2024-11-04,228,109.8,25034.4,2024-11-10
229,5,3,140,2023-09-18,58,288.23,16717.34,2023-09-28
230,6,5,131,2023-06-21,54,9.17,495.18,2023-06-29
231,3,1,150,2023-02-19,270,288.76,77965.2,2023-02-25
232,2,1,47,2023-08-24,342,140.19,47944.98,2023-09-01
233,5,8,51,2024-10-29,482,246.05,118596.1,2024-11-04
234,10,7,180,2023-10-11,168,209.73,35234.64,2023-10-19
235,9,3,13,2023-02-18,127,259.03,32896.81,2023-02-22
236,4,10,9,2023-12-08,347,123.34,42798.98,2023-12-17
237,10,1,49,2024-10-18,247,114.01,28160.47,2024-10-27
238,3,6,196,2024-11-17,454,80.81,36687.74,2024-11-25
239,8,9,56,2024-05-29,344,103.4,35569.6,2024-06-08
240,3,8,190,2023-10-29,483,7.39,3569.37,2023-11-06
241,1,5,7,2023-09-19,182,77.22,14054.04,2023-09-24
242,7,5,21,2023-03-13,202,76.06,15364.12,2023-03-26
243,9,1,196,2024-02-12,295,80.81,23838.95,2024-02-20
244,8,2,7,2023-08-16,403,77.22,31119.66,2023-08-25
245,9,6,23,2024-09-29,109,145.21,15827.89,2024-10-11
246,8,4,170,2023-03-27,177,280.19,49593.63,2023-03-30
247,8,1,10,2023-10-19,275,152.27,41874.25,2023-11-02
248,6,2,166,2023-04-17,108,154.93,16732.44,2023-04-25
249,10,2,45,2023-04-30,301,202.57,60973.57,2023-05-08
250,9,9,100,2023-07-23,301,194.61,58577.61,2023-07-31
251,5,1,23,2023-01-22,481,145.21,69846.01,2023-01-27
252,2,7,94,2024-10-02,286,250.7,71700.2,2024-10-16
253,1,3,113,2023-10-06,386,114.32,44127.52,2023-10-13
254,2,10,118,2024-08-28,315,77.42,24387.3,2024-09-09
255,8,10,42,2023-02-20,198,25.05,4959.9,2023-03-06
256,2,2,75,2023-11-07,308,204.81,63081.48,2023-11-13
257,10,10,99,2023-09-11,467,294.31,137442.77,2023-09-24
258,5,8,198,2023-03-22,103,258.74,26650.22,2023-03-28
259,8,1,113,2023-07-06,291,114.32,33267.12,2023-07-17
260,8,8,72,2023-11-17,97,25.64,2487.08,2023-11-30
261,9,8,69,2023-03-08,254,180.99,45971.46,2023-03-22
262,10,2,140,2023-09-03,105,288.23,30264.15,2023-09-13
263,8,3,158,2024-07-27,84,20.99,1763.16,2024-08-03
264,2,5,158,2024-01-22,126,20.99,2644.74,2024-01-31
265,4,1,53,2023-08-22,73,88.12,6432.76,2023-08-29
266,3,6,72,2023-01-07,279,25.64,7153.56,2023-01-13
267,3,10,62,2023-05-20,208,50.59,10522.72,2023-05-23
268,1,7,48,2024-05-10,243,67.88,16494.84,2024-05-22
269,10,9,149,2023-04-26,249,221.69,55200.81,2023-04-30
270,7,1,131,2024-06-27,66,9.17,605.22,2024-07-09
271,10,4,103,2024-01-17,235,29.16,6852.6,2024-01-27
272,4,10,175,2024-06-16,419,261.93,109748.67,2024-06-22
273,1,6,110,2023-07-17,365,63.51,23181.15,2023-07-24
274,2,2,71,2023-09-05,314,133.64,41962.96,2023-09-08
275,1,3,104,2024-07-05,277,71.15,19708.55,2024-07-08
276,7,6,64,2023-04-08,411,237.28,97522.08,2023-04-13
277,10,7,169,2024-05-06,469,136.73,64126.37,2024-05-16
278,1,5,41,2024-12-10,206,288.43,59416.58,2024-12-16
279,10,8,199,2023-10-23,456,238.25,108642.0,2023-10-31
280,7,2,52,2023-06-20,264,39.05,10309.2,2023-06-25
281,3,7,166,2024-03-08,101,154.93,15647.93,2024-03-21
282,10,9,49,2023-02-19,454,114.01,51760.54,2023-02-24
283,8,8,115,2024-03-21,108,268.01,28945.08,2024-04-02
284,5,6,86,2023-04-29,366,241.42,88359.72,2023-05-13
285,5,1,140,2024-10-06,122,288.23,35164.06,2024-10-13
286,5,8,31,2023-07-05,325,126.28,41041.0,2023-07-18
287,6,5,162,2024-11-14,77,9.03,695.31,2024-11-21
288,6,1,29,2023-06-02,466,68.2,31781.2,2023-06-07
289,4,2,83,2024-07-30,116,76.98,8929.68,2024-08-08
290,9,2,123,2024-02-01,63,124.9,7868.7,2024-02-10
291,4,5,98,2024-07-21,278,202.32,56244.96,2024-07-26
292,10,6,88,2024-09-05,399,272.52,108735.48,2024-09-15
293,8,10,101,2023-05-08,417,81.75,34089.75,2023-05-11
294,7,5,189,2024-07-04,325,92.28,29991.0,2024-07-17
295,3,2,149,2023-10-10,356,221.69,78921.64,2023-10-19
296,2,6,84,2024-10-19,372,130.42,48516.24,2024-10-28
297,2,9,83,2023-11-25,226,76.98,17397.48,2023-11-28
298,9,2,147,2023-10-10,169,41.68,7043.92,2023-10-16
299,2,1,77,2024-08-28,430,183.97,79107.1,2024-09-01
300,5,5,64,2023-08-19,97,237.28,23016.16,2023-08-22
301,9,2,24,2024-11-16,207,227.8,47154.6,2024-11-19
302,1,10,57,2024-12-09,317,135.34,42902.78,2024-12-22
303,7,1,106,2023-12-21,281,144.7,40660.7,2024-01-01
304,3,4,164,2023-12-19,87,91.1,7925.7,2023-12-25
305,3,2,41,2023-06-21,99,288.43,28554.57,2023-07-05
306,4,10,116,2024-08-05,217,221.47,48058.99,2024-08-13
307,8,2,104,2024-01-05,387,71.15,27535.05,2024-01-16
308,8,7,163,2024-09-11,67,284.38,19053.46,2024-09-15
309,8,4,47,2023-02-05,222,140.19,31122.18,2023-02-15
310,10,3,66,2023-09-09,145,199.71,28957.95,2023-09-12
311,6,7,83,2024-02-21,108,76.98,8313.84,2024-03-05
312,5,8,169,2023-08-02,331,136.73,45257.63,2023-08-10
313,8,7,188,2023-04-02,253,256.73,64952.69,2023-04-13
314,6,4,49,2023-03-31,345,114.01,39333.45,2023-04-12
315,2,9,88,2024-09-25,342,272.52,93201.84,2024-10-05
316,5,4,17,2024-08-10,130,263.38,34239.4,2024-08-14
317,7,1,77,2023-02-28,473,183.97,87017.81,2023-03-13
318,6,9,194,2024-08-26,274,31.59,8655.66,2024-09-09
319,2,6,98,2023-02-08,184,202.32,37226.88,2023-02-22
320,7,5,115,2023-08-19,360,268.01,96483.6,2023-08-26
321,9,8,81,2023-05-15,65,295.26,19191.9,2023-05-27
322,2,7,97,2023-03-15,74,69.73,5160.02,2023-03-29
323,3,2,171,2024-07-15,232,257.52,59744.64,2024-07-25
324,2,3,60,2024-04-16,143,95.94,13719.42,2024-04-24
325,1,6,121,2024-08-09,280,240.36,67300.8,2024-08-17
326,4,7,181,2023-07-02,226,91.54,20688.04,2023-07-11
327,5,7,95,2024-01-03,446,264.79,118096.34,2024-01-10
328,2,8,128,2023-01-08,187,217.78,40724.86,2023-01-11
329,7,5,161,2024-03-30,205,184.62,37847.1,2024-04-10
330,5,9,91,2024-02-03,268,104.08,27893.44,2024-02-17
331,1,7,109,2024-11-03,145,174.86,25354.7,2024-11-12
332,5,7,50,2024-10-18,408,295.24,120457.92,2024-10-22
333,4,10,155,2024-05-13,325,209.63,68129.75,2024-05-20
334,10,9,37,2023-02-06,216,5.64,1218.24,2023-02-10
335,1,9,80,2023-06-29,397,71.27,28294.19,2023-07-12
336,1,9,28,2023-05-28,118,258.59,30513.62,2023-05-31
337,9,6,52,2024-03-23,56,39.05,2186.8,2024-04-01
338,10,3,12,2023-10-03,299,111.79,33425.21,2023-10-09
339,9,6,178,2024-06-14,488,15.59,7607.92,2024-06-25
340,5,9,136,2023-02-02,452,49.01,22152.52,2023-02-08
341,1,7,89,2024-10-31,235,81.46,19143.1,2024-11-09
342,5,3,160,2023-11-29,123,134.24,16511.52,2023-12-10
343,2,6,184,2024-04-07,165,274.28,45256.2,2024-04-13
344,6,9,194,2023-07-29,335,31.59,10582.65,2023-08-02
345,2,9,133,2023-09-23,89,262.45,23358.05,2023-10-06
346,8,5,65,2024-01-01,316,245.89,77701.24,2024-01-04
347,1,10,84,2024-06-16,122,130.42,15911.24,2024-06-27
348,10,5,76,2024-12-03,353,250.95,88585.35,2024-12-11
349,8,6,178,2023-09-29,457,15.59,7124.63,2023-10-04
350,10,5,120,2023-07-04,357,150.82,53842.74,2023-07-17
351,10,10,158,2023-03-18,465,20.99,9760.35,2023-03-23
352,4,9,103,2023-04-27,294,29.16,8573.04,2023-05-06
353,7,2,143,2023-10-05,371,14.63,5427.73,2023-10-10
354,1,7,52,2023-08-11,416,39.05,16244.8,2023-08-14
355,4,4,117,2023-12-21,186,133.49,24829.14,2023-12-31
356,8,5,147,2024-11-29,67,41.68,2792.56,2024-12-03
357,7,4,160,2023-06-30,157,134.24,21075.68,2023-07-14
358,4,3,30,2024-08-17,326,243.21,79286.46,2024-08-30
359,1,10,109,2023-06-30,258,174.86,45113.88,2023-07-03
360,9,5,124,2024-03-06,180,214.99,38698.2,2024-03-16
361,5,10,101,2024-08-05,102,81.75,8338.5,2024-08-17
362,8,6,66,2023-05-08,392,199.71,78286.32,2023-05-18
363,4,5,17,2024-07-14,460,263.38,121154.8,2024-07-17
364,1,6,158,2023-07-23,145,20.99,3043.55,2023-07-30
365,3,1,47,2024-06-22,139,140.19,19486.41,2024-06-26
366,1,8,54,2024-12-12,279,192.1,53595.9,2024-12-15
367,4,3,57,2024-05-15,392,135.34,53053.28,2024-05-28
368,8,3,57,2023-03-11,114,135.34,15428.76,2023-03-25
369,1,7,112,2023-12-26,412,295.23,121634.76,2024-01-08
370,7,6,67,2023-05-28,468,108.59,50820.12,2023-06-03
371,1,3,28,2024-08-14,492,258.59,127226.28,2024-08-21
372,10,6,11,2023-05-26,252,77.76,19595.52,2023-06-03
373,6,7,133,2024-12-29,133,262.45,34905.85,2025-01-03
374,3,3,96,2024-06-19,220,93.09,20479.8,2024-06-30
375,7,10,191,2023-06-09,228,233.84,53315.52,2023-06-22
376,3,6,106,2023-05-28,361,144.7,52236.7,2023-06-10
377,5,6,72,2024-08-19,85,25.64,2179.4,2024-08-30
378,9,6,99,2023-06-30,69,294.31,20307.39,2023-07-12
379,10,3,155,2023-12-29,185,209.63,38781.55,2024-01-08
380,5,5,132,2024-11-25,366,168.24,61575.84,2024-12-04
381,5,6,5,2023-09-02,247,260.61,64370.67,2023-09-08
382,5,5,17,2023-06-14,201,263.38,52939.38,2023-06-28
383,6,4,65,2023-02-06,104,245.89,25572.56,2023-02-12
384,8,10,150,2023-11-09,339,288.76,97889.64,2023-11-14
385,6,1,169,2023-08-26,224,136.73,30627.52,2023-08-30
386,9,2,195,2023-10-26,268,43.99,11789.32,2023-11-01
387,6,4,115,2024-09-20,73,268.01,19564.73,2024-09-25
388,2,3,66,2023-05-13,183,199.71,36546.93,2023-05-17
389,2,4,12,2023-05-05,370,111.79,41362.3,2023-05-18
390,1,5,48,2024-03-20,206,67.88,13983.28,2024-03-23
391,1,1,140,2024-06-08,360,288.23,103762.8,2024-06-11
392,3,1,27,2023-08-22,284,7.12,2022.08,2023-08-28
393,1,1,96,2023-03-06,481,93.09,44776.29,2023-03-15
394,10,7,168,2024-01-27,267,219.19,58523.73,2024-02-05
395,8,7,174,2024-09-06,305,34.41,10495.05,2024-09-17
396,10,6,114,2024-03-17,150,128.92,19338.0,2024-03-27
397,4,7,83,2023-04-10,336,76.98,25865.28,2023-04-17
398,4,5,81,2024-05-22,293,295.26,86511.18,2024-06-03
399,10,1,173,2024-06-16,126,42.24,5322.24,2024-06-26
400,10,7,79,2023-03-25,177,200.84,35548.68,2023-04-02
401,9,1,83,2024-12-01,341,76.98,26250.18,2024-12-04
402,5,6,101,2024-04-19,142,81.75,11608.5,2024-04-23
403,8,8,6,2023-10-09,417,109.8,45786.6,2023-10-20
404,7,9,196,2023-01-23,82,80.81,6626.42,2023-02-05
405,2,5,32,2024-09-19,469,219.82,103095.58,2024-09-24
406,1,9,75,2024-07-14,188,204.81,38504.28,2024-07-25
407,3,10,106,2024-06-18,115,144.7,16640.5,2024-06-26
408,7,3,19,2023-11-29,163,229.94,37480.22,2023-12-09
409,4,4,107,2023-05-06,243,80.59,19583.37,2023-05-16
410,2,1,62,2024-03-13,365,50.59,18465.35,2024-03-17
411,8,10,18,2024-02-21,382,261.8,100007.6,2024-03-05
412,8,9,165,2024-10-15,313,76.9,24069.7,2024-10-25
413,10,1,154,2024-01-31,362,103.33,37405.46,2024-02-12
414,7,3,165,2024-07-03,408,76.9,31375.2,2024-07-10
415,1,3,129,2024-11-20,450,68.83,30973.5,2024-12-03
416,1,5,142,2023-08-21,246,5.79,1424.34,2023-08-25
417,2,4,184,2023-12-01,334,274.28,91609.52,2023-12-14
418,4,6,88,2023-09-17,254,272.52,69220.08,2023-09-23
419,1,3,170,2023-05-25,351,280.19,98346.69,2023-06-02
420,7,8,170,2024-07-05,84,280.19,23535.96,2024-07-17
421,6,9,197,2024-06-21,335,242.25,81153.75,2024-06-28
