sale_id,branch_id,employee_id,medication_id,sale_date,sale_time,quantity,unit_price,total_amount,payment_method,customer_age_group
158,7,25,174,2024-10-31,09:05:00,2,53.67,107.34,Card,Senior
159,8,28,67,2024-05-02,11:05:00,1,149.77,149.77,Insurance,Adult
160,1,15,170,2024-08-02,17:58:00,5,431.86,2159.3,Cash,Senior
161,5,35,104,2024-08-03,10:43:00,1,84.02,84.02,Insurance,Senior
162,10,10,71,2023-02-03,09:13:00,3,184.95,554.85,Insurance,Adult
163,7,44,128,2023-03-20,18:53:00,2,281.37,562.74,Insurance,Adult
164,2,33,25,2024-01-29,20:46:00,1,179.05,179.05,Insurance,Adult
165,10,50,70,2023-02-24,10:21:00,1,60.82,60.82,Insurance,Senior
166,8,32,195,2024-02-11,19:17:00,1,61.27,61.27,Cash,Adult
167,7,6,198,2024-07-20,19:37:00,1,381.87,381.87,Insurance,Adult
168,3,48,29,2023-09-10,11:24:00,1,82.49,82.49,Card,Adult
169,6,49,79,2024-01-05,13:28:00,1,286.93,286.93,Card,Child
170,9,27,69,2023-05-16,17:35:00,1,236.29,236.29,Cash,Child
171,6,25,91,2023-04-02,18:50:00,1,161.52,161.52,Cash,Adult
172,4,37,100,2024-02-28,17:57:00,1,235.69,235.69,Insurance,Child
173,8,10,95,2024-12-02,13:17:00,1,373.11,373.11,Cash,Child
174,6,17,123,2024-03-21,21:04:00,1,174.84,174.84,Cash,Senior
175,3,20,102,2024-10-02,16:06:00,2,303.16,606.32,Cash,Adult
176,6,28,42,2023-12-07,14:28:00,1,38.52,38.52,Insurance,Senior
177,8,21,129,2023-05-20,20:12:00,2,94.15,188.3,Cash,Adult
178,4,21,131,2023-11-23,16:36:00,2,12.75,25.5,Card,Adult
179,9,12,92,2024-02-07,12:37:00,4,107.07,428.28,Insurance,Senior
180,8,19,191,2023-01-28,20:13:00,1,293.13,293.13,Insurance,Child
181,5,43,10,2024-02-23,13:15:00,1,235.73,235.73,Cash,Senior
182,10,26,32,2024-03-09,18:30:00,1,331.99,331.99,Insurance,Senior
183,9,39,97,2024-12-09,14:44:00,1,93.87,93.87,Insurance,Child
184,10,3,34,2023-04-22,14:10:00,2,311.34,622.68,Insurance,Senior
185,7,7,9,2024-11-24,14:50:00,4,145.51,582.04,Cash,Child
186,10,15,127,2023-09-22,17:37:00,2,270.08,540.16,Card,Adult
187,3,23,88,2024-02-05,20:32:00,2,368.08,736.16,Cash,Adult
188,3,23,123,2023-04-18,10:07:00,4,174.84,699.36,Card,Adult
189,2,29,22,2024-04-11,14:30:00,2,390.73,781.46,Insurance,Senior
190,2,2,138,2024-04-08,21:45:00,1,215.3,215.3,Card,Senior
191,9,12,5,2023-04-22,20:15:00,1,344.28,344.28,Insurance,Child
192,7,41,117,2023-12-05,12:51:00,4,197.43,789.72,Cash,Child
193,4,29,2,2024-10-17,20:39:00,1,259.13,259.13,Insurance,Adult
194,2,37,66,2024-02-03,13:48:00,1,265.48,265.48,Cash,Senior
195,8,34,82,2023-07-11,10:16:00,1,375.39,375.39,Insurance,Adult
196,6,30,87,2024-09-03,10:22:00,1,382.04,382.04,Insurance,Child
197,2,44,32,2024-11-20,18:37:00,1,331.99,331.99,Cash,Adult
198,3,33,138,2023-05-01,14:44:00,1,215.3,215.3,Card,Adult
199,9,45,70,2024-09-02,11:31:00,1,60.82,60.82,Insurance,Child
200,8,40,63,2024-07-22,11:20:00,1,90.69,90.69,Cash,Adult
201,9,42,118,2023-01-10,15:35:00,1,121.59,121.59,Card,Adult
202,3,6,108,2024-12-02,16:31:00,2,390.79,781.58,Insurance,Child
203,3,50,131,2023-08-14,17:18:00,1,12.75,12.75,Card,Senior
204,9,24,107,2024-05-22,10:17:00,1,106.06,106.06,Insurance,Child
205,4,20,111,2024-03-27,10:47:00,5,356.92,1784.6,Cash,Adult
206,2,50,139,2023-09-27,16:55:00,3,239.87,719.61,Cash,Child
207,7,11,4,2024-08-25,18:40:00,3,23.2,69.6,Insurance,Child
208,9,18,53,2023-07-31,18:22:00,3,109.69,329.07,Insurance,Senior
209,5,33,129,2023-06-22,13:36:00,2,94.15,188.3,Insurance,Child
210,3,45,182,2023-05-19,09:17:00,2,184.37,368.74,Cash,Child
211,7,32,36,2023-05-30,21:53:00,3,184.76,554.28,Cash,Senior
212,2,26,125,2024-10-09,16:04:00,1,102.83,102.83,Insurance,Senior
213,6,38,35,2023-10-12,16:31:00,3,457.54,1372.62,Cash,Senior
214,6,5,21,2023-04-06,19:44:00,1,106.89,106.89,Insurance,Adult
215,6,19,189,2023-08-12,16:17:00,3,135.16,405.48,Card,Senior
216,1,3,80,2024-08-14,21:21:00,3,88.35,265.05,Cash,Senior
217,8,1,68,2024-04-15,11:28:00,4,334.29,1337.16,Card,Child
218,5,6,147,2024-12-06,13:10:00,3,60.85,182.55,Insurance,Adult
219,1,26,61,2023-09-14,19:10:00,2,94.04,188.08,Insurance,Adult
220,2,1,27,2024-12-17,10:45:00,1,10.46,10.46,Cash,Adult
221,1,1,67,2023-03-21,19:28:00,1,149.77,149.77,Insurance,Adult
222,2,15,178,2023-05-04,11:30:00,1,18.41,18.41,Card,Child
223,7,50,77,2023-04-15,13:08:00,1,238.24,238.24,Cash,Senior
224,3,29,72,2024-11-24,09:39:00,2,37.15,74.3,Card,Senior
225,8,14,17,2023-08-07,15:39:00,1,334.1,334.1,Cash,Child
226,7,21,40,2023-05-24,15:22:00,2,30.89,61.78,Cash,Child
227,10,19,17,2023-10-11,18:38:00,1,334.1,334.1,Insurance,Child
228,4,48,158,2024-11-05,18:32:00,1,29.04,29.04,Card,Adult
229,7,8,71,2024-10-23,12:31:00,3,184.95,554.85,Cash,Adult
230,6,9,16,2024-10-15,09:23:00,2,135.07,270.14,Card,Senior
231,2,2,88,2024-03-06,21:30:00,2,368.08,736.16,Insurance,Child
232,7,33,132,2023-01-15,09:50:00,1,246.28,246.28,Card,Senior
233,2,41,101,2024-12-30,20:25:00,1,106.05,106.05,Insurance,Senior
234,4,10,79,2024-09-22,10:32:00,1,286.93,286.93,Insurance,Adult
235,2,20,106,2024-02-05,19:43:00,2,173.85,347.7,Insurance,Adult
236,8,40,72,2023-09-02,15:07:00,1,37.15,37.15,Insurance,Child
237,1,46,8,2023-11-13,11:07:00,2,380.26,760.52,Cash,Senior
238,5,11,63,2023-01-12,17:33:00,4,90.69,362.76,Card,Child
239,7,18,25,2023-10-03,09:21:00,1,179.05,179.05,Insurance,Child
240,8,33,22,2023-09-27,10:31:00,2,390.73,781.46,Card,Child
241,2,37,54,2024-05-26,11:16:00,1,243.74,243.74,Insurance,Senior
242,1,16,125,2023-04-29,09:54:00,2,102.83,205.66,Cash,Adult
243,7,15,92,2024-01-08,09:35:00,1,107.07,107.07,Card,Child
244,6,8,149,2024-03-02,10:36:00,1,315.17,315.17,Insurance,Senior
245,2,30,76,2023-02-23,09:25:00,3,322.91,968.73,Card,Adult
246,5,37,62,2023-12-02,14:12:00,1,79.35,79.35,Card,Senior
247,4,47,140,2024-09-29,16:49:00,1,344.34,344.34,Insurance,Child
248,6,41,74,2023-06-04,12:34:00,1,294.84,294.84,Insurance,Child
249,5,7,73,2023-12-10,20:46:00,2,279.3,558.6,Cash,Senior
250,5,6,92,2023-09-01,11:45:00,4,107.07,428.28,Cash,Child
251,2,38,87,2024-06-16,16:47:00,3,382.04,1146.12,Cash,Senior
252,1,28,2,2023-05-17,18:36:00,1,259.13,259.13,Insurance,Child
253,6,21,122,2023-08-31,21:25:00,3,12.6,37.8,Card,Adult
254,10,7,65,2023-08-28,21:49:00,1,333.71,333.71,Cash,Child
255,6,50,94,2023-06-18,10:34:00,1,332.24,332.24,Cash,Adult
256,5,46,89,2023-11-12,10:10:00,3,102.74,308.22,Insurance,Senior
257,4,23,131,2023-02-11,11:05:00,3,12.75,38.25,Card,Senior
258,7,29,19,2023-02-20,11:01:00,1,320.24,320.24,Insurance,Senior
259,3,8,131,2024-07-17,21:50:00,1,12.75,12.75,Cash,Child
260,2,38,70,2023-08-16,14:43:00,3,60.82,182.46,Insurance,Adult
261,3,6,71,2023-03-18,19:28:00,1,184.95,184.95,Card,Child
262,7,32,186,2023-02-13,18:27:00,1,69.6,69.6,Cash,Adult
263,5,29,92,2024-11-30,11:17:00,1,107.07,107.07,Cash,Child
264,7,36,11,2024-09-20,13:31:00,1,109.07,109.07,Card,Child
265,9,16,124,2023-03-31,12:41:00,1,290.6,290.6,Insurance,Senior
266,9,32,167,2023-01-20,14:30:00,2,158.36,316.72,Card,Senior
267,10,15,131,2024-05-29,09:20:00,1,12.75,12.75,Cash,Adult
268,10,15,56,2023-03-01,14:49:00,1,125.0,125.0,Cash,Child
269,1,49,1,2023-09-11,21:58:00,1,144.7,144.7,Cash,Senior
270,4,38,87,2024-02-02,11:11:00,3,382.04,1146.12,Card,Senior
271,6,37,91,2024-12-15,20:44:00,2,161.52,323.04,Insurance,Child
272,8,35,187,2024-07-30,21:56:00,3,282.83,848.49,Card,Child
273,1,34,66,2024-05-17,18:14:00,1,265.48,265.48,Card,Child
274,3,21,155,2023-12-06,11:21:00,1,268.26,268.26,Cash,Child
275,9,24,117,2023-06-01,21:07:00,3,197.43,592.29,Cash,Adult
276,5,21,187,2024-12-22,10:21:00,1,282.83,282.83,Cash,Child
277,3,46,44,2024-03-23,19:20:00,4,279.37,1117.48,Insurance,Senior
278,3,25,28,2024-09-20,18:52:00,1,305.62,305.62,Card,Senior
279,10,26,133,2024-12-06,09:44:00,1,369.62,369.62,Insurance,Child
280,10,7,17,2023-07-06,18:14:00,4,334.1,1336.4,Card,Child
281,2,46,24,2023-12-06,14:10:00,1,332.69,332.69,Insurance,Senior
282,2,23,93,2023-12-10,12:44:00,1,174.61,174.61,Card,Child
283,7,32,73,2023-01-02,15:10:00,1,279.3,279.3,Card,Adult
284,10,42,95,2024-07-13,21:55:00,3,373.11,1119.33,Insurance,Child
285,1,21,88,2023-06-16,09:18:00,2,368.08,736.16,Card,Child
286,2,36,124,2023-03-17,11:46:00,3,290.6,871.8,Cash,Adult
287,7,42,174,2024-08-31,20:01:00,3,53.67,161.01,Cash,Senior
288,7,45,63,2024-03-20,12:12:00,1,90.69,90.69,Insurance,Senior
289,1,26,131,2024-07-07,12:06:00,1,12.75,12.75,Insurance,Senior
290,5,43,61,2024-05-17,15:05:00,1,94.04,94.04,Insurance,Senior
291,5,6,76,2024-05-06,11:40:00,1,322.91,322.91,Card,Child
292,2,42,28,2023-11-12,19:16:00,1,305.62,305.62,Insurance,Adult
293,1,17,86,2023-07-09,11:28:00,1,350.16,350.16,Card,Adult
294,2,6,134,2023-09-27,09:09:00,1,167.18,167.18,Insurance,Adult
295,1,25,94,2024-07-08,12:35:00,2,332.24,664.48,Insurance,Adult
296,4,31,7,2024-07-02,18:56:00,4,104.87,419.48,Card,Child
297,9,37,157,2024-02-09,17:36:00,2,285.73,571.46,Insurance,Senior
298,4,13,61,2023-05-31,11:10:00,2,94.04,188.08,Cash,Child
299,3,39,67,2024-03-09,12:52:00,2,149.77,299.54,Card,Adult
300,5,34,80,2023-03-10,17:20:00,2,88.35,176.7,Card,Child
301,7,10,6,2024-12-18,15:07:00,2,159.38,318.76,Cash,Senior
302,2,37,112,2024-08-25,10:59:00,4,443.49,1773.96,Cash,Adult
303,8,37,152,2024-07-02,13:24:00,3,308.07,924.21,Insurance,Adult
304,7,3,68,2023-02-08,18:38:00,1,334.29,334.29,Card,Adult
305,6,2,136,2024-12-08,13:57:00,2,68.77,137.54,Card,Adult
306,2,15,134,2023-11-15,20:43:00,1,167.18,167.18,Cash,Adult
307,10,42,34,2024-03-29,20:26:00,1,311.34,311.34,Cash,Child
308,9,24,132,2024-03-28,20:31:00,3,246.28,738.84,Cash,Senior
309,9,37,68,2023-06-12,15:08:00,2,334.29,668.58,Cash,Child
310,1,30,152,2023-07-17,09:15:00,1,308.07,308.07,Cash,Adult
311,7,41,63,2024-12-22,16:32:00,1,90.69,90.69,Cash,Senior
312,8,38,138,2023-02-01,16:11:00,1,215.3,215.3,Insurance,Adult
313,2,19,68,2023-12-19,20:53:00,3,334.29,1002.87,Cash,Adult
314,4,42,70,2023-02-20,12:54:00,2,60.82,121.64,Cash,Senior
315,1,31,137,2023-07-31,09:55:00,1,59.67,59.67,Cash,Senior
316,5,46,9,2023-06-27,13:38:00,1,145.51,145.51,Insurance,Senior
317,5,14,99,2023-10-09,14:29:00,1,409.2,409.2,Card,Adult
318,1,33,104,2024-11-24,18:06:00,2,84.02,168.04,Insurance,Adult
319,2,31,10,2024-07-28,13:43:00,2,235.73,471.46,Cash,Adult
320,5,13,17,2023-10-11,13:41:00,3,334.1,1002.3,Cash,Senior
321,10,26,159,2023-09-04,21:51:00,3,158.85,476.55,Insurance,Adult
322,5,27,66,2024-11-28,16:18:00,1,265.48,265.48,Card,Adult
323,4,44,101,2023-02-06,12:21:00,5,106.05,530.25,Insurance,Senior
324,3,43,155,2024-05-02,17:19:00,2,268.26,536.52,Insurance,Child
325,9,49,78,2023-10-28,13:46:00,1,234.82,234.82,Cash,Senior
326,5,27,18,2023-12-10,12:47:00,1,336.23,336.23,Card,Adult
327,1,41,111,2023-09-24,10:30:00,1,356.92,356.92,Insurance,Senior
328,7,34,67,2024-09-27,17:07:00,3,149.77,449.31,Card,Adult
329,7,37,154,2023-02-25,12:21:00,1,149.99,149.99,Card,Child
330,6,41,54,2023-11-20,10:31:00,1,243.74,243.74,Cash,Adult
331,3,37,73,2024-10-11,12:48:00,1,279.3,279.3,Cash,Adult
332,7,31,78,2023-04-01,15:25:00,1,234.82,234.82,Card,Child
333,6,49,120,2023-02-08,09:57:00,2,195.5,391.0,Insurance,Child
334,6,20,15,2023-01-19,12:14:00,2,247.13,494.26,Cash,Child
335,1,20,101,2024-01-28,10:52:00,1,106.05,106.05,Card,Adult
336,6,32,20,2024-06-16,19:08:00,1,179.02,179.02,Card,Child
337,4,15,189,2023-06-18,15:01:00,3,135.16,405.48,Insurance,Child
338,6,46,27,2023-08-05,11:07:00,2,10.46,20.92,Insurance,Child
339,1,39,142,2024-01-20,17:39:00,1,7.83,7.83,Cash,Senior
340,7,29,8,2023-04-21,20:07:00,1,380.26,380.26,Card,Child
341,1,20,131,2024-07-14,12:44:00,2,12.75,25.5,Card,Senior
342,3,27,11,2023-04-14,18:44:00,1,109.07,109.07,Cash,Senior
343,4,39,70,2024-09-24,10:31:00,1,60.82,60.82,Cash,Adult
344,3,3,166,2024-06-19,15:18:00,1,239.47,239.47,Insurance,Adult
345,1,43,13,2023-08-01,12:00:00,1,315.7,315.7,Cash,Child
346,9,5,6,2024-08-10,10:49:00,1,159.38,159.38,Insurance,Senior
347,5,30,149,2023-04-14,16:18:00,2,315.17,630.34,Cash,Child
348,6,28,154,2023-06-28,14:51:00,3,149.99,449.97,Insurance,Child
349,3,43,47,2023-04-08,09:54:00,3,224.21,672.63,Insurance,Child
350,2,24,96,2023-12-03,18:17:00,1,123.39,123.39,Card,Child
351,7,45,99,2023-04-27,13:53:00,4,409.2,1636.8,Card,Adult
352,1,11,157,2024-10-26,11:44:00,1,285.73,285.73,Cash,Adult
353,10,25,117,2024-08-27,16:11:00,2,197.43,394.86,Card,Senior
354,3,31,42,2023-01-30,20:57:00,3,38.52,115.56,Card,Child
355,1,46,97,2024-02-26,19:20:00,1,93.87,93.87,Insurance,Senior
356,6,34,23,2024-08-13,19:55:00,1,202.92,202.92,Insurance,Senior
357,8,23,6,2024-12-18,20:15:00,1,159.38,159.38,Insurance,Senior
